Technique, Size, Time
INTEL_CRC_INTERNAL,80,251069,250561,251582,250330,261387,249518,250905,249625,249444,250978,252165,249485,248987,
INTEL_CRC_INTERNAL,160,2049057,2045793,2106857,2060026,2131414,2064271,2139363,2059478,2066934,2058362,2064131,2050933,2061471,
INTEL_CRC_INTERNAL,320,16384006,16514782,16933135,16587361,16412184,16430617,16943169,16432361,16465769,16361731,16529903,16472733,16366219,
INTEL_XOR_FLET,80,109272,107959,107964,107630,108915,108093,108756,108090,112072,108243,108784,107660,109130,
INTEL_XOR_FLET,160,734722,735438,740320,787918,738890,736212,734853,737480,737845,745813,739401,740173,736752,
INTEL_XOR_FLET,320,5360201,5339761,5458860,5405668,5324817,5324141,5427523,5371482,5336577,5342659,5333370,5325334,5334580,
INTEL_XOR_CRC,80,98462,97708,98178,97825,98349,97524,97621,98349,98107,98064,98521,97430,97510,
INTEL_XOR_CRC,160,685760,685157,715170,715779,691989,693379,691102,690660,692057,697052,692155,692148,710286,
INTEL_XOR_CRC,320,5293631,5163151,5150847,5138595,5140741,5142230,5211859,5190667,5165251,5147457,5145856,5134115,5213030,
INTEL_ONES_FLET,80,302422,302952,303447,302282,304111,303002,347364,321309,301982,303777,305134,302710,301629,
INTEL_ONES_FLET,160,2293531,2255014,2257393,2249653,2262195,2251728,2240892,2242173,2242159,2236820,2240853,2234427,2235397,
INTEL_ONES_FLET,320,17236447,17385835,17203062,17269403,17120141,17391221,17178633,17216103,17194954,17303085,17264742,17100357,17326837,
INTEL_ONES_CRC,80,279377,281321,278779,279113,279340,277840,284808,281075,279883,279523,280289,279920,278001,
INTEL_ONES_CRC,160,2217097,2126383,2134635,2138636,2133643,2132769,2126006,2123460,2130734,2125485,2132634,2125374,2186435,
INTEL_ONES_CRC,320,16566689,16554130,16749849,16863765,17020603,16874536,16587358,16636597,16536983,16746157,16560289,16553502,16608803,
INTEL_TWOS_FLET,80,152398,151541,151465,153686,152116,151380,151392,152220,151219,151051,151053,151212,152039,
INTEL_TWOS_FLET,160,1092892,1095091,1094057,1095539,1096366,1091762,1093443,1155144,1089160,1088860,1093902,1153019,1093613,
INTEL_TWOS_FLET,320,8217087,8208031,8148799,8143159,8142152,8203547,8206686,8307593,8154074,8143659,8229044,8218045,8155585,
INTEL_TWOS_CRC,80,142976,142004,141605,141931,141502,142143,142363,142430,142545,141592,141482,141888,142013,
INTEL_TWOS_CRC,160,1039189,1041011,1038610,1042663,1037660,1040800,1038621,1038355,1039871,1045413,1039265,1041896,1039449,
INTEL_TWOS_CRC,320,8138102,8041687,7939375,7930966,8000395,8000574,7971698,7936087,8051881,7922138,7983102,7992789,7933457,
INTEL_FLET_CRC,80,374762,374493,373075,374479,375769,375104,375744,372491,372584,374537,372807,373563,373978,
INTEL_FLET_CRC,160,2986308,2990017,2995599,2991213,2985233,3043111,3003313,3090276,3002765,3059560,2983282,2998220,2994254,
INTEL_FLET_CRC,320,23678713,23619605,23835393,23580783,23860821,23691505,23634597,24052987,23579370,23670345,23760964,23673447,23769231,
