
INTEL_FLETCHER_INTERNAL,80,    118458.1661,    118430.9196,    118536.3293,    118471.6320,    118453.3978,    118496.6183,    118436.6703,    118488.3308,    118438.6063,    118479.6906,    118479.1088,    118470.6497,    118382.1011,    118519.1345,    118479.9290,    118483.4290,    118447.0367,    118448.4577,    118493.7954,    118423.0804,    118393.8408,    118423.9388,    118437.5191,    118492.4126,    118486.7573,    118435.5164,    118447.8760,    118481.2641,    118535.3947,    118503.1986,
INTEL_CRC_external,80,     18093.5705,     18080.9295,     18089.0501,     18084.8205,     18080.1499,     18099.8099,     18084.5499,     18085.7301,     18088.6698,     18075.5401,     18097.3101,     18083.3995,     18077.9302,     18081.7795,     18086.3094,     18092.3402,     18075.2504,     18088.5100,     18083.3805,     18107.5299,     18090.6403,     18076.8502,     18089.1395,     18091.8002,     18250.7396,     18134.5797,     18093.9806,     18115.3500,     18138.7198,     18065.2297,
INTEL_CRC_intermediate,80,     18831.2101,     18839.9303,     18845.3698,     18822.2504,     18837.0705,     18824.6095,     18843.5602,     18820.5600,     18830.6904,     18856.4706,     18836.5102,     18824.1506,     18861.9006,     18858.6199,     18829.0906,     18862.8101,     18888.7703,     18947.3295,     18666.2495,     18677.8295,     18677.6102,     18688.7705,     18716.0206,     18691.2596,     18672.4699,     18694.2005,     18666.0504,     18696.0196,     18686.5306,     18670.7997,
INTEL_CRC_INTERNAL,80,     81506.2428,     81405.6969,     81408.3958,     81449.6040,     81403.8181,     81448.8125,     81448.8602,     81386.7664,     81448.8602,     81590.3473,     81964.3402,     82042.9611,     82039.2609,     82088.8710,     82060.6422,     82043.4666,     81945.6863,     82012.9108,     81961.5841,     81958.5800,     82028.4176,     81998.3959,     82094.4977,     82080.3928,     82061.8439,     81968.4792,     81993.8278,     81993.7706,     81990.9954,     81921.2723,
INTEL_XOR_FLET,80,     25721.4999,     25727.4294,     25727.8991,     25779.6311,     25718.0405,     25711.9799,     25744.0996,     25741.6701,     25847.3706,     25770.7191,     25759.9401,     25735.7788,     25768.8308,     25767.8199,     25704.2503,     25826.8595,     25724.5994,     25726.7904,     25729.8589,     25785.4509,     25736.2008,     25729.7707,     25721.7598,     25748.9204,     25727.8991,     25717.5303,     25860.6696,     25760.1190,     25824.6398,     25713.6106,
INTEL_XOR_CRC,80,     25338.0299,     25331.8596,     25353.9991,     25336.2393,     25350.8306,     25311.6012,     25313.4108,     25327.1008,     25345.9311,     25440.9003,     25366.5805,     25319.4499,     25431.3588,     25343.8997,     25332.2601,     25354.6309,     25350.0795,     25321.5289,     25318.5391,     25317.4496,     25295.5794,     25319.4308,     25429.3609,     25369.6990,     25376.6203,     25337.3003,     25360.7392,     25364.1200,     25329.9809,     25346.8895,
INTEL_ONES_FLET,80,     83493.4711,     83484.3063,     83446.8365,     83455.0381,     83486.6905,     83519.9833,     83461.1607,     83533.2966,     83554.3537,     83554.2583,     83482.7042,     83507.1468,     83547.2012,     83599.9393,     83493.4711,     83474.1592,     83533.4396,     83424.8257,     83468.5516,     83509.3594,     83551.3210,     83463.9931,     83536.5963,     83543.9301,     83459.3868,     83442.7738,     83473.7110,     83476.9344,     83519.6495,     83479.9290,
INTEL_ONES_CRC,80,     80987.4821,     80957.2315,     80953.5313,     80924.7208,     80938.1390,     80999.4793,     80966.5298,     80930.1853,     81011.6673,     80929.8420,     80897.9511,     80913.2004,     80916.7957,     80965.8718,     80948.0858,     81023.1972,     80925.9319,     80966.5298,     80975.0271,     80969.9440,     80923.5287,     80963.7928,     81034.4028,     80908.4511,     80886.3926,     80930.0995,     80922.5368,     80953.9318,     80961.2370,     80989.3894,
INTEL_TWOS_FLET,80,     39582.1595,     39616.5800,     39589.3407,     39600.4105,     39594.3904,     39600.1911,     39599.9503,     39583.7307,     39608.1805,     39635.7107,     39607.4104,     39596.7293,     39593.3795,     39643.9195,     39651.7801,     39641.7093,     39602.5705,     39624.4788,     39568.3694,     39575.4600,     39597.2705,     39571.3997,     39562.2802,     39568.3908,     39591.8703,     39560.1010,     39561.5196,     39570.3697,     39566.5908,     39580.8005,
INTEL_TWOS_CRC,80,     39041.9793,     39013.9294,     39008.2788,     38995.5711,     38994.5507,     38994.8511,     38994.5889,     39003.3603,     38988.3399,     39017.6392,     39027.3905,     38985.4407,     38993.8498,     39012.3510,     39106.1997,     38987.2193,     39077.3892,     39011.6405,     38987.5889,     38986.5494,     39091.7706,     39041.1592,     39020.2403,     39034.5001,     39044.0798,     39078.7101,     39031.3506,     39040.8802,     39037.4398,     38984.8590,
INTEL_FLET_CRC,80,    118438.2915,    118449.7261,    118440.3324,    118440.5899,    118463.4399,    118455.2097,    118397.1691,    118397.2836,    118460.3691,    118428.9646,    118339.3288,    118355.5984,    118315.4869,    118330.0114,    118293.6001,    118287.1342,    118351.0685,    118318.9011,    118278.1792,    118276.7963,    118357.8587,    118300.9911,    118344.5835,    118259.4776,    118316.1736,    118467.1211,    118367.2523,    118363.2660,    118343.4010,    118252.2392,
